,date_implement,policy,metric_change,metric_value,state
28,2020-01-21,H3_Contact tracing,1.0,1.0,Alabama
29,2020-03-31,H3_Contact tracing,1.0,2.0,Alabama
30,2020-10-23,H3_Contact tracing,-1.0,1.0,Alabama
31,2020-04-04,H6_Facial Coverings,1.0,1.0,Alabama
32,2020-05-01,H6_Facial Coverings,2.0,3.0,Alabama
33,2020-12-15,H7_Vaccination policy,1.0,1.0,Alabama
34,2020-12-22,H7_Vaccination policy,1.0,2.0,Alabama
0,2020-03-12,C1_School closing,1.0,1.0,Arkansas
1,2020-09-29,C1_School closing,1.0,2.0,Arkansas
2,2020-11-03,C1_School closing,1.0,2.0,Arkansas
3,2020-03-17,C1_School closing,2.0,3.0,Arkansas
4,2020-08-24,C1_School closing,-1.0,2.0,Arkansas
5,2020-08-27,C1_School closing,-1.0,1.0,Arkansas
6,2020-10-19,C1_School closing,-1.0,1.0,Arkansas
7,2020-03-12,C2_Workplace closing,1.0,1.0,Arkansas
8,2020-03-17,C2_Workplace closing,1.0,2.0,Arkansas
9,2020-12-19,C2_Workplace closing,1.0,2.0,Arkansas
10,2020-11-17,C2_Workplace closing,-1.0,1.0,Arkansas
11,2020-03-13,C3_Cancel public events,1.0,1.0,Arkansas
12,2020-03-27,C3_Cancel public events,1.0,2.0,Arkansas
13,2020-05-04,C3_Cancel public events,-1.0,1.0,Arkansas
14,2020-03-27,C4_Restrictions on gatherings,4.0,4.0,Arkansas
15,2020-05-04,C4_Restrictions on gatherings,-1.0,3.0,Arkansas
16,2020-06-15,C4_Restrictions on gatherings,-2.0,1.0,Arkansas
17,2020-05-11,C5_Close public transport,1.0,1.0,Arkansas
18,2020-04-03,C6_Stay at home requirements,1.0,1.0,Arkansas
19,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Arkansas
20,2020-05-05,C7_Restrictions on internal movement,1.0,2.0,Arkansas
21,2020-06-15,C7_Restrictions on internal movement,-1.0,1.0,Arkansas
22,2020-03-02,C8_International travel controls,3.0,3.0,Arkansas
23,2020-03-11,H1_Public information campaigns,1.0,1.0,Arkansas
24,2020-03-16,H1_Public information campaigns,1.0,2.0,Arkansas
25,2020-01-21,H2_Testing policy,1.0,1.0,Arkansas
26,2020-04-21,H2_Testing policy,1.0,2.0,Arkansas
27,2020-05-15,H2_Testing policy,1.0,3.0,Arkansas
28,2020-11-03,H2_Testing policy,-1.0,2.0,Arkansas
29,2020-01-21,H3_Contact tracing,1.0,1.0,Arkansas
30,2020-08-18,H3_Contact tracing,1.0,2.0,Arkansas
31,2020-04-03,H6_Facial Coverings,1.0,1.0,Arkansas
32,2020-06-16,H6_Facial Coverings,2.0,3.0,Arkansas
33,2020-12-14,H7_Vaccination policy,1.0,1.0,Arkansas
34,2020-12-28,H7_Vaccination policy,1.0,2.0,Arkansas
0,2020-03-13,C1_School closing,1.0,1.0,Arizona
1,2020-03-16,C1_School closing,2.0,3.0,Arizona
2,2020-08-20,C1_School closing,-1.0,2.0,Arizona
3,2020-03-12,C2_Workplace closing,1.0,1.0,Arizona
4,2020-03-17,C2_Workplace closing,1.0,2.0,Arizona
5,2020-06-29,C2_Workplace closing,1.0,2.0,Arizona
6,2020-05-16,C2_Workplace closing,-1.0,1.0,Arizona
7,2020-10-22,C2_Workplace closing,-1.0,1.0,Arizona
8,2020-03-15,C3_Cancel public events,1.0,1.0,Arizona
9,2020-04-30,C3_Cancel public events,1.0,2.0,Arizona
10,2020-12-07,C3_Cancel public events,1.0,2.0,Arizona
11,2020-08-11,C3_Cancel public events,-1.0,1.0,Arizona
12,2020-08-03,C4_Restrictions on gatherings,3.0,3.0,Arizona
13,2020-03-31,C5_Close public transport,1.0,1.0,Arizona
14,2020-08-03,C5_Close public transport,1.0,1.0,Arizona
15,2020-11-01,C5_Close public transport,1.0,1.0,Arizona
16,2020-05-16,C5_Close public transport,-1.0,0.0,Arizona
17,2020-10-01,C5_Close public transport,-1.0,0.0,Arizona
18,2020-11-09,C5_Close public transport,-1.0,0.0,Arizona
19,2020-03-31,C6_Stay at home requirements,2.0,2.0,Arizona
20,2020-05-16,C6_Stay at home requirements,-1.0,1.0,Arizona
21,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Arizona
22,2020-04-09,C7_Restrictions on internal movement,1.0,2.0,Arizona
23,2020-05-16,C7_Restrictions on internal movement,-1.0,1.0,Arizona
24,2020-03-02,C8_International travel controls,3.0,3.0,Arizona
25,2020-01-26,H1_Public information campaigns,1.0,1.0,Arizona
26,2020-03-02,H1_Public information campaigns,1.0,2.0,Arizona
27,2020-01-21,H2_Testing policy,1.0,1.0,Arizona
28,2020-04-09,H2_Testing policy,1.0,2.0,Arizona
29,2020-07-11,H2_Testing policy,1.0,3.0,Arizona
30,2020-01-21,H3_Contact tracing,1.0,1.0,Arizona
31,2020-05-16,H3_Contact tracing,1.0,2.0,Arizona
32,2020-04-04,H6_Facial Coverings,1.0,1.0,Arizona
33,2020-06-19,H6_Facial Coverings,2.0,3.0,Arizona
0,2020-03-07,C1_School closing,1.0,1.0,California
1,2020-03-13,C1_School closing,1.0,2.0,California
2,2020-03-17,C1_School closing,1.0,3.0,California
3,2020-03-12,C2_Workplace closing,1.0,1.0,California
4,2020-03-17,C2_Workplace closing,2.0,3.0,California
5,2020-05-08,C2_Workplace closing,-1.0,2.0,California
6,2020-03-07,C3_Cancel public events,1.0,1.0,California
7,2020-03-11,C3_Cancel public events,1.0,2.0,California
8,2020-03-11,C4_Restrictions on gatherings,2.0,2.0,California
9,2020-03-16,C4_Restrictions on gatherings,2.0,4.0,California
10,2020-10-09,C4_Restrictions on gatherings,-1.0,3.0,California
11,2020-11-30,C4_Restrictions on gatherings,1.0,4.0,California
12,2020-03-11,C6_Stay at home requirements,1.0,1.0,California
13,2020-03-17,C6_Stay at home requirements,1.0,2.0,California
14,2020-11-21,C6_Stay at home requirements,1.0,2.0,California
15,2020-05-08,C6_Stay at home requirements,-1.0,1.0,California
16,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,California
17,2020-03-19,C7_Restrictions on internal movement,1.0,2.0,California
18,2020-12-30,C7_Restrictions on internal movement,1.0,2.0,California
19,2020-05-08,C7_Restrictions on internal movement,-1.0,1.0,California
20,2020-01-17,C8_International travel controls,1.0,1.0,California
21,2020-03-02,C8_International travel controls,2.0,3.0,California
22,2020-02-02,H1_Public information campaigns,1.0,1.0,California
23,2020-03-16,H1_Public information campaigns,1.0,2.0,California
24,2020-01-21,H2_Testing policy,1.0,1.0,California
25,2020-04-19,H2_Testing policy,1.0,2.0,California
26,2020-08-20,H2_Testing policy,1.0,3.0,California
27,2020-09-22,H2_Testing policy,1.0,3.0,California
28,2020-08-26,H2_Testing policy,-1.0,2.0,California
29,2020-01-21,H3_Contact tracing,1.0,1.0,California
30,2020-05-22,H3_Contact tracing,1.0,2.0,California
31,2020-04-01,H6_Facial Coverings,1.0,1.0,California
32,2020-04-04,H6_Facial Coverings,1.0,2.0,California
33,2020-04-06,H6_Facial Coverings,1.0,3.0,California
34,2020-12-15,H7_Vaccination policy,2.0,2.0,California
0,2020-03-13,C1_School closing,1.0,1.0,Colorado
1,2020-03-16,C1_School closing,1.0,2.0,Colorado
2,2020-03-30,C1_School closing,1.0,3.0,Colorado
3,2020-06-01,C1_School closing,-1.0,2.0,Colorado
4,2020-03-12,C2_Workplace closing,1.0,1.0,Colorado
5,2020-03-15,C2_Workplace closing,1.0,2.0,Colorado
6,2020-03-24,C2_Workplace closing,1.0,3.0,Colorado
7,2020-04-27,C2_Workplace closing,-1.0,2.0,Colorado
8,2020-03-12,C3_Cancel public events,1.0,1.0,Colorado
9,2020-03-19,C3_Cancel public events,1.0,2.0,Colorado
10,2020-06-18,C3_Cancel public events,-1.0,1.0,Colorado
11,2020-03-12,C4_Restrictions on gatherings,3.0,3.0,Colorado
12,2020-03-20,C4_Restrictions on gatherings,1.0,4.0,Colorado
13,2020-03-16,C5_Close public transport,1.0,1.0,Colorado
14,2020-03-24,C6_Stay at home requirements,2.0,2.0,Colorado
15,2020-05-09,C6_Stay at home requirements,-1.0,1.0,Colorado
16,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Colorado
17,2020-04-27,C7_Restrictions on internal movement,1.0,2.0,Colorado
18,2020-05-09,C7_Restrictions on internal movement,-1.0,1.0,Colorado
19,2020-03-02,C8_International travel controls,3.0,3.0,Colorado
20,2020-02-27,H1_Public information campaigns,1.0,1.0,Colorado
21,2020-03-16,H1_Public information campaigns,1.0,2.0,Colorado
22,2020-01-21,H2_Testing policy,1.0,1.0,Colorado
23,2020-05-18,H2_Testing policy,1.0,2.0,Colorado
24,2020-01-21,H3_Contact tracing,1.0,1.0,Colorado
25,2020-07-23,H3_Contact tracing,1.0,2.0,Colorado
26,2020-04-03,H6_Facial Coverings,1.0,1.0,Colorado
27,2020-05-14,H6_Facial Coverings,1.0,2.0,Colorado
28,2020-10-11,H6_Facial Coverings,1.0,3.0,Colorado
29,2020-12-14,H7_Vaccination policy,1.0,1.0,Colorado
30,2020-12-30,H7_Vaccination policy,1.0,2.0,Colorado
0,2020-03-11,C1_School closing,2.0,2.0,Connecticut
1,2020-03-13,C1_School closing,1.0,3.0,Connecticut
2,2020-08-26,C1_School closing,-1.0,2.0,Connecticut
3,2020-03-12,C2_Workplace closing,1.0,1.0,Connecticut
4,2020-03-16,C2_Workplace closing,1.0,2.0,Connecticut
5,2020-03-23,C2_Workplace closing,1.0,3.0,Connecticut
6,2020-05-20,C2_Workplace closing,-1.0,2.0,Connecticut
7,2020-03-09,C3_Cancel public events,2.0,2.0,Connecticut
8,2020-07-03,C3_Cancel public events,-1.0,1.0,Connecticut
9,2020-03-12,C4_Restrictions on gatherings,2.0,2.0,Connecticut
10,2020-03-16,C4_Restrictions on gatherings,1.0,3.0,Connecticut
11,2020-03-19,C4_Restrictions on gatherings,1.0,4.0,Connecticut
12,2020-11-06,C4_Restrictions on gatherings,1.0,4.0,Connecticut
13,2020-06-17,C4_Restrictions on gatherings,-1.0,3.0,Connecticut
14,2020-03-27,C5_Close public transport,1.0,1.0,Connecticut
15,2020-03-22,C6_Stay at home requirements,1.0,1.0,Connecticut
16,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Connecticut
17,2020-07-24,C7_Restrictions on internal movement,1.0,2.0,Connecticut
18,2020-03-02,C8_International travel controls,3.0,3.0,Connecticut
19,2020-01-27,H1_Public information campaigns,1.0,1.0,Connecticut
20,2020-02-26,H1_Public information campaigns,1.0,2.0,Connecticut
21,2020-01-21,H2_Testing policy,1.0,1.0,Connecticut
22,2020-04-17,H2_Testing policy,1.0,2.0,Connecticut
23,2020-05-13,H2_Testing policy,1.0,3.0,Connecticut
24,2020-01-21,H3_Contact tracing,1.0,1.0,Connecticut
25,2020-05-18,H3_Contact tracing,1.0,2.0,Connecticut
26,2020-04-04,H6_Facial Coverings,1.0,1.0,Connecticut
27,2020-04-20,H6_Facial Coverings,2.0,3.0,Connecticut
28,2020-12-14,H7_Vaccination policy,2.0,2.0,Connecticut
0,2020-03-13,C1_School closing,1.0,1.0,Washington
1,2020-03-16,C1_School closing,1.0,2.0,Washington
2,2020-05-30,C1_School closing,1.0,3.0,Washington
3,2020-08-10,C1_School closing,-1.0,2.0,Washington
4,2020-11-18,C1_School closing,-1.0,1.0,Washington
5,2020-03-12,C2_Workplace closing,1.0,1.0,Washington
6,2020-12-23,C2_Workplace closing,1.0,3.0,Washington
7,2020-03-25,C2_Workplace closing,2.0,3.0,Washington
8,2020-05-29,C2_Workplace closing,-1.0,2.0,Washington
9,2020-03-11,C3_Cancel public events,1.0,1.0,Washington
10,2020-03-25,C3_Cancel public events,1.0,2.0,Washington
11,2020-03-13,C4_Restrictions on gatherings,2.0,2.0,Washington
12,2020-03-16,C4_Restrictions on gatherings,1.0,3.0,Washington
13,2020-03-13,C5_Close public transport,1.0,1.0,Washington
14,2020-04-01,C5_Close public transport,1.0,2.0,Washington
15,2020-06-28,C5_Close public transport,-1.0,1.0,Washington
16,2020-08-23,C5_Close public transport,-1.0,0.0,Washington
17,2020-04-01,C6_Stay at home requirements,2.0,2.0,Washington
18,2020-05-29,C6_Stay at home requirements,-1.0,1.0,Washington
19,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Washington
20,2020-04-01,C7_Restrictions on internal movement,1.0,2.0,Washington
21,2020-07-27,C7_Restrictions on internal movement,1.0,2.0,Washington
22,2020-10-19,C7_Restrictions on internal movement,1.0,2.0,Washington
23,2020-05-29,C7_Restrictions on internal movement,-1.0,1.0,Washington
24,2020-10-17,C7_Restrictions on internal movement,-1.0,1.0,Washington
25,2020-03-02,C8_International travel controls,3.0,3.0,Washington
26,2020-03-04,H1_Public information campaigns,2.0,2.0,Washington
27,2020-01-21,H2_Testing policy,1.0,1.0,Washington
28,2020-04-03,H2_Testing policy,1.0,2.0,Washington
29,2020-11-18,H2_Testing policy,1.0,3.0,Washington
30,2020-01-21,H3_Contact tracing,1.0,1.0,Washington
31,2020-08-05,H3_Contact tracing,1.0,2.0,Washington
32,2020-08-17,H3_Contact tracing,1.0,2.0,Washington
33,2020-08-14,H3_Contact tracing,-1.0,1.0,Washington
34,2020-04-04,H6_Facial Coverings,1.0,1.0,Washington
35,2020-05-13,H6_Facial Coverings,2.0,3.0,Washington
36,2020-07-22,H6_Facial Coverings,2.0,3.0,Washington
37,2020-05-29,H6_Facial Coverings,-2.0,1.0,Washington
38,2020-12-14,H7_Vaccination policy,2.0,2.0,Washington
0,2020-03-13,C1_School closing,1.0,1.0,Delaware
1,2020-03-16,C1_School closing,2.0,3.0,Delaware
2,2020-08-28,C1_School closing,-1.0,2.0,Delaware
3,2020-03-12,C2_Workplace closing,1.0,1.0,Delaware
4,2020-03-16,C2_Workplace closing,1.0,2.0,Delaware
5,2020-03-12,C3_Cancel public events,1.0,1.0,Delaware
6,2020-03-16,C3_Cancel public events,1.0,2.0,Delaware
7,2020-12-14,C3_Cancel public events,1.0,2.0,Delaware
8,2020-09-04,C3_Cancel public events,-1.0,1.0,Delaware
9,2020-03-16,C4_Restrictions on gatherings,3.0,3.0,Delaware
10,2020-04-02,C4_Restrictions on gatherings,1.0,4.0,Delaware
11,2020-06-15,C4_Restrictions on gatherings,-2.0,2.0,Delaware
12,2020-11-23,C4_Restrictions on gatherings,2.0,4.0,Delaware
13,2020-03-18,C5_Close public transport,1.0,1.0,Delaware
14,2020-09-04,C5_Close public transport,-1.0,0.0,Delaware
15,2020-03-09,C6_Stay at home requirements,1.0,1.0,Delaware
16,2020-03-24,C6_Stay at home requirements,1.0,2.0,Delaware
17,2020-07-15,C6_Stay at home requirements,-1.0,1.0,Delaware
18,2020-03-13,C7_Restrictions on internal movement,1.0,1.0,Delaware
19,2020-03-30,C7_Restrictions on internal movement,1.0,2.0,Delaware
20,2020-06-01,C7_Restrictions on internal movement,-1.0,1.0,Delaware
21,2020-02-07,C8_International travel controls,1.0,1.0,Delaware
22,2020-03-02,C8_International travel controls,2.0,3.0,Delaware
23,2020-01-28,H1_Public information campaigns,1.0,1.0,Delaware
24,2020-03-02,H1_Public information campaigns,1.0,2.0,Delaware
25,2020-01-21,H2_Testing policy,1.0,1.0,Delaware
26,2020-05-08,H2_Testing policy,1.0,2.0,Delaware
27,2020-07-16,H2_Testing policy,1.0,3.0,Delaware
28,2020-01-21,H3_Contact tracing,1.0,1.0,Delaware
29,2020-05-12,H3_Contact tracing,1.0,2.0,Delaware
30,2020-04-04,H6_Facial Coverings,1.0,1.0,Delaware
31,2020-12-14,H6_Facial Coverings,1.0,4.0,Delaware
32,2020-04-28,H6_Facial Coverings,2.0,3.0,Delaware
33,2020-12-17,H7_Vaccination policy,1.0,1.0,Delaware
0,2020-03-12,C1_School closing,2.0,2.0,Florida
1,2020-03-17,C1_School closing,1.0,3.0,Florida
2,2020-11-30,C1_School closing,1.0,2.0,Florida
3,2020-08-01,C1_School closing,-1.0,2.0,Florida
4,2020-10-05,C1_School closing,-1.0,1.0,Florida
5,2020-03-12,C2_Workplace closing,1.0,1.0,Florida
6,2020-03-20,C2_Workplace closing,1.0,3.0,Florida
7,2020-03-16,C2_Workplace closing,2.0,3.0,Florida
8,2020-03-17,C2_Workplace closing,-1.0,2.0,Florida
9,2020-05-20,C2_Workplace closing,-1.0,2.0,Florida
10,2020-10-02,C2_Workplace closing,-1.0,1.0,Florida
11,2020-03-12,C3_Cancel public events,1.0,1.0,Florida
12,2020-03-16,C3_Cancel public events,1.0,2.0,Florida
13,2020-09-25,C3_Cancel public events,-1.0,1.0,Florida
14,2020-03-17,C4_Restrictions on gatherings,4.0,4.0,Florida
15,2020-12-16,C4_Restrictions on gatherings,4.0,4.0,Florida
16,2020-09-25,C4_Restrictions on gatherings,-1.0,3.0,Florida
17,2020-10-02,C4_Restrictions on gatherings,-3.0,0.0,Florida
18,2020-03-20,C5_Close public transport,1.0,1.0,Florida
19,2020-11-15,C5_Close public transport,-1.0,0.0,Florida
20,2020-03-16,C6_Stay at home requirements,2.0,2.0,Florida
21,2020-06-08,C6_Stay at home requirements,-1.0,1.0,Florida
22,2020-07-03,C6_Stay at home requirements,1.0,2.0,Florida
23,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Florida
24,2020-03-24,C7_Restrictions on internal movement,1.0,2.0,Florida
25,2020-08-05,C7_Restrictions on internal movement,-1.0,1.0,Florida
26,2020-03-02,C8_International travel controls,3.0,3.0,Florida
27,2020-02-25,H1_Public information campaigns,1.0,1.0,Florida
28,2020-03-01,H1_Public information campaigns,1.0,2.0,Florida
29,2020-01-21,H2_Testing policy,1.0,1.0,Florida
30,2020-07-14,H2_Testing policy,1.0,2.0,Florida
31,2020-01-21,H3_Contact tracing,1.0,1.0,Florida
32,2020-04-04,H6_Facial Coverings,1.0,1.0,Florida
33,2020-04-09,H6_Facial Coverings,1.0,2.0,Florida
34,2020-04-13,H6_Facial Coverings,1.0,3.0,Florida
35,2020-12-14,H7_Vaccination policy,1.0,1.0,Florida
36,2020-12-18,H7_Vaccination policy,1.0,2.0,Florida
0,2020-03-12,C1_School closing,1.0,1.0,Georgia
1,2020-03-18,C1_School closing,2.0,3.0,Georgia
2,2020-08-17,C1_School closing,-1.0,2.0,Georgia
3,2020-03-12,C2_Workplace closing,1.0,1.0,Georgia
4,2020-03-23,C2_Workplace closing,1.0,2.0,Georgia
5,2020-07-01,C2_Workplace closing,-1.0,1.0,Georgia
6,2020-03-14,C3_Cancel public events,1.0,1.0,Georgia
7,2020-04-03,C3_Cancel public events,1.0,2.0,Georgia
8,2020-12-30,C3_Cancel public events,-1.0,1.0,Georgia
9,2020-04-02,C4_Restrictions on gatherings,4.0,4.0,Georgia
10,2020-05-28,C4_Restrictions on gatherings,-1.0,3.0,Georgia
11,2020-04-20,C5_Close public transport,1.0,1.0,Georgia
12,2020-10-01,C5_Close public transport,-1.0,0.0,Georgia
13,2020-03-21,C6_Stay at home requirements,2.0,2.0,Georgia
14,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Georgia
15,2020-03-02,C8_International travel controls,3.0,3.0,Georgia
16,2020-03-13,H1_Public information campaigns,2.0,2.0,Georgia
17,2020-01-21,H2_Testing policy,1.0,1.0,Georgia
18,2020-03-15,H2_Testing policy,1.0,1.0,Georgia
19,2020-04-26,H2_Testing policy,1.0,2.0,Georgia
20,2020-05-07,H2_Testing policy,1.0,3.0,Georgia
21,2020-03-02,H2_Testing policy,-1.0,0.0,Georgia
22,2020-01-21,H3_Contact tracing,1.0,1.0,Georgia
23,2020-05-12,H3_Contact tracing,1.0,2.0,Georgia
24,2020-09-18,H3_Contact tracing,-1.0,1.0,Georgia
25,2020-04-04,H6_Facial Coverings,1.0,1.0,Georgia
26,2020-08-17,H6_Facial Coverings,1.0,2.0,Georgia
27,2020-12-15,H7_Vaccination policy,1.0,1.0,Georgia
28,2020-12-17,H7_Vaccination policy,1.0,2.0,Georgia
0,2020-03-13,C1_School closing,1.0,1.0,Hawaii
1,2020-03-23,C1_School closing,1.0,2.0,Hawaii
2,2020-03-30,C1_School closing,1.0,3.0,Hawaii
3,2020-08-24,C1_School closing,-1.0,2.0,Hawaii
4,2020-03-12,C2_Workplace closing,1.0,1.0,Hawaii
5,2020-03-20,C2_Workplace closing,1.0,2.0,Hawaii
6,2020-03-25,C2_Workplace closing,1.0,3.0,Hawaii
7,2020-05-05,C2_Workplace closing,-1.0,2.0,Hawaii
8,2020-03-13,C3_Cancel public events,1.0,1.0,Hawaii
9,2020-07-17,C3_Cancel public events,1.0,2.0,Hawaii
10,2020-03-25,C4_Restrictions on gatherings,4.0,4.0,Hawaii
11,2020-07-17,C5_Close public transport,1.0,1.0,Hawaii
12,2020-03-20,C6_Stay at home requirements,1.0,1.0,Hawaii
13,2020-03-25,C6_Stay at home requirements,1.0,2.0,Hawaii
14,2020-12-04,C6_Stay at home requirements,1.0,2.0,Hawaii
15,2020-11-12,C6_Stay at home requirements,-1.0,1.0,Hawaii
16,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Hawaii
17,2020-03-26,C7_Restrictions on internal movement,1.0,2.0,Hawaii
18,2020-03-02,C8_International travel controls,3.0,3.0,Hawaii
19,2020-01-29,H1_Public information campaigns,1.0,1.0,Hawaii
20,2020-02-21,H1_Public information campaigns,1.0,2.0,Hawaii
21,2020-01-21,H2_Testing policy,1.0,1.0,Hawaii
22,2020-03-10,H2_Testing policy,1.0,1.0,Hawaii
23,2020-05-29,H2_Testing policy,1.0,2.0,Hawaii
24,2020-09-01,H2_Testing policy,1.0,3.0,Hawaii
25,2020-10-19,H2_Testing policy,1.0,3.0,Hawaii
26,2020-03-02,H2_Testing policy,-1.0,0.0,Hawaii
27,2020-09-15,H2_Testing policy,-1.0,2.0,Hawaii
28,2020-01-21,H3_Contact tracing,1.0,1.0,Hawaii
29,2020-04-15,H3_Contact tracing,1.0,2.0,Hawaii
30,2020-04-02,H6_Facial Coverings,1.0,1.0,Hawaii
31,2020-04-16,H6_Facial Coverings,1.0,2.0,Hawaii
32,2020-07-02,H6_Facial Coverings,1.0,3.0,Hawaii
33,2020-12-15,H7_Vaccination policy,1.0,1.0,Hawaii
34,2020-12-21,H7_Vaccination policy,1.0,2.0,Hawaii
0,2020-03-13,C1_School closing,1.0,1.0,Iowa
1,2020-11-11,C1_School closing,1.0,2.0,Iowa
2,2020-04-02,C1_School closing,2.0,3.0,Iowa
3,2020-08-24,C1_School closing,-1.0,2.0,Iowa
4,2020-11-10,C1_School closing,-1.0,1.0,Iowa
5,2020-03-12,C2_Workplace closing,1.0,1.0,Iowa
6,2020-03-17,C2_Workplace closing,1.0,2.0,Iowa
7,2020-08-27,C2_Workplace closing,1.0,2.0,Iowa
8,2020-06-12,C2_Workplace closing,-1.0,1.0,Iowa
9,2020-10-05,C2_Workplace closing,-1.0,1.0,Iowa
